Name,Official Name,Continent,Capital,Largest City,Most Spoken Language,Demonym,HoS Title,Head of State,HoS Picture,HoG Title,Head of Government,HoG Picture,Population,Currency,Anthem,AnthemHtml,Globe,Flag,CoA,Acceptables
Afghanistan,Islamic Republic of Afghanistan,Asia,Kabul,Kabul,Dari,Afghan,President,Ashraf Ghani,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ashraf_Ghani_December_2014.jpg/220px-Ashraf_Ghani_December_2014.jpg,,,,"31,575,018",Afghani,Mill&imacr; Sur&umacr;d,"<iframe src=""//commons.wikimedia.org/wiki/File:National_anthem_of_Afghanistan,_performed_by_the_United_States_Navy_Band.wav?embedplayer=yes"" ",https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Afghanistan_%28orthographic_projection%29.svg/250px-Afghanistan_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/800px-Flag_of_Afghanistan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/National_emblem_of_Afghanistan.svg/85px-National_emblem_of_Afghanistan.svg.png,Afghanistan
Albania,Republic of Albania,Europe,Tirana,Tirana,Albanian,Albanian,President,Ilir Meta,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Albanian_Speaker_Ilir_Meta_and_Arben_Cici_%28Ambassador_of_Albania_to_Denmark%29%2C_in_a_meeting_with_OSCE_PA_staff_in_Copenhagen%2C_2_April_2014_%28cropped%29.jpg/200px-Albanian_Speaker_Ilir_Meta_and_Arben_Cici_%28Ambassador_of_Albania_to_Denmark%29%2C_in_a_meeting_with_OSCE_PA_staff_in_Copenhagen%2C_2_April_2014_%28cropped%29.jpg,Prime Minister,Edi Rama,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Edi_Rama_2014.jpg/220px-Edi_Rama_2014.jpg,"2,876,591",Lek,Himni I Flamurit,"<iframe src=""//commons.wikimedia.org/wiki/File:Hymni_i_Flamurit_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen ",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Albania_%28orthographic_projection%29.svg/225px-Albania_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/125px-Flag_of_Albania.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Coat_of_arms_of_Albania.svg/60px-Coat_of_arms_of_Albania.svg.png,Albania
Algeria,People's Democratic Republic of Algeria,Africa,Algiers,Algiers,Arabic,Algerian,President,Abdelkader Bensalah,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/World_Leaders_Investment_Summit_%287098511567%29_%28cropped%29.jpg/220px-World_Leaders_Investment_Summit_%287098511567%29_%28cropped%29.jpg,Prime Minister,Noureddine Bedoui,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Noureddine_Bedoui.jpg/220px-Noureddine_Bedoui.jpg,"42,200,000",Dinar,Kassaman,"<iframe src=""//commons.wikimedia.org/wiki/File:National_anthem_of_Algeria,_by_the_U.S._Navy_Band.oga?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Algeria_%28orthographic_projection%29.svg/250px-Algeria_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/125px-Flag_of_Algeria.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Emblem_of_Algeria.svg/85px-Emblem_of_Algeria.svg.png,Algeria
Andorra,Principality of Andorra,Europe,Andorra La Vella,Andorra La Vella,Catalan,Andorran,Co-Prince,Joan Enric Vives Sic&iacute;lia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Mons._Vives_%2830612833490%29.jpg/220px-Mons._Vives_%2830612833490%29.jpg,Prime Minister,Xavier Espot Zamora,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Xavier_Espot_Zamora_Andorra_Est%C3%B2nia_%28cropped%29.jpg/330px-Xavier_Espot_Zamora_Andorra_Est%C3%B2nia_%28cropped%29.jpg,"77,281",Euro,El Gran Carlemany,"<iframe src=""//commons.wikimedia.org/wiki/File:El_Gran_Carlemany.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Location_Andorra_Europe.png/250px-Location_Andorra_Europe.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/188px-Flag_of_Andorra.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Coat_of_arms_of_Andorra.svg/85px-Coat_of_arms_of_Andorra.svg.png,Andorra
Angola,Republic of Angola,Africa,Luanda,Luanda,Portuguese,Angolan,President,Jo&atilde;o Louren&ccedil;o,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/2018-07-04_President_Jo%C3%A3o_Louren%C3%A7o-0555.jpg/220px-2018-07-04_President_Jo%C3%A3o_Louren%C3%A7o-0555.jpg,,,,"25,789,700",Kwanza,Angola Avante,"<iframe src=""//en.wikipedia.org/wiki/File:Angola's_national_anthem,_performed_by_the_United_States_Navy_Band_(March_1996_arrangement).ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Location_Angola_AU_Africa.svg/250px-Location_Angola_AU_Africa.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/125px-Flag_of_Angola.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Emblem_of_Angola.svg/85px-Emblem_of_Angola.svg.png,Angola
Antigua and Barbuda,Antigua and Barbuda,North America,St. John's,St. John's,English,Antiguan,Queen,Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Queen_Elizabeth_II_in_March_2015.jpg/220px-Queen_Elizabeth_II_in_March_2015.jpg,Prime Minister,Gaston Brown,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Gaston_Browne_2015.jpg/220px-Gaston_Browne_2015.jpg,"100,963",East Caribbean dollar,"Fair Antigua, We Salute Thee","<iframe src=""//commons.wikimedia.org/wiki/File:Antigua_and_Barbuda_National_Anthem.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/ATG_orthographic.svg/250px-ATG_orthographic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/125px-Flag_of_Antigua_and_Barbuda.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Coat_of_arms_of_Antigua_and_Barbuda.svg/85px-Coat_of_arms_of_Antigua_and_Barbuda.svg.png,"Antigua and Barbuda, Antigua, Barbuda"
Argentina,Argentine Republic,South America,Buenos Aires,Buenos Aires,Spanish,Argentine,President,Mauricio Macri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Presidente_Macri_en_el_Sillon_de_Rivadavia_%28cropped%29.jpg/220px-Presidente_Macri_en_el_Sillon_de_Rivadavia_%28cropped%29.jpg,,,,"43,847,430",Peso,Himno Nacional Argentino,"<iframe src=""//commons.wikimedia.org/wiki/File:Himno_Nacional_Argentino_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Argentina_orthogonal.svg/220px-Argentina_orthogonal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Coat_of_arms_of_Argentina.svg/85px-Coat_of_arms_of_Argentina.svg.png,Argentina
Armenia,Republic of Armenia,Asia,Yerevan,Yerevan,Armenian,Armenian,President,Armen Sarkissian,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Sarkissian_armen_profile.jpg/220px-Sarkissian_armen_profile.jpg,Prime Minister,Nikol Pashinyan,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Cropped_nikol_pashinyan_K%C3%B6lner_Rathaus_2019_by_Raymond.jpg/250px-Cropped_nikol_pashinyan_K%C3%B6lner_Rathaus_2019_by_Raymond.jpg,"2,943,816",Dram,Mer Hayrenik,"<iframe src=""//commons.wikimedia.org/wiki/File:Mer_Hayrenik_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Armenia_%28orthographic_projection%29.svg/250px-Armenia_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/125px-Flag_of_Armenia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Coat_of_arms_of_Armenia.svg/85px-Coat_of_arms_of_Armenia.svg.png,Armenia
Australia,Commonwealth of Australia,Oceania,Canberra,Sydney,English,Australian,Queen,Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Queen_Elizabeth_II_in_March_2015.jpg/220px-Queen_Elizabeth_II_in_March_2015.jpg,Prime Minister,Scott Morrison,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Scott_Morrison_2014_%28cropped%29.jpg/220px-Scott_Morrison_2014_%28cropped%29.jpg,"25,380,900",Australian dollar,Advance Australia Fair,"<iframe src=""//commons.wikimedia.org/wiki/File:U.S._Navy_Band,_Advance_Australia_Fair_(instrumental).ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Australia_with_AAT_%28orthographic_projection%29.svg/250px-Australia_with_AAT_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Coat_of_Arms_of_Australia.svg/85px-Coat_of_Arms_of_Australia.svg.png,Australia
Austria,Republic of Austria,Europe,Vienna,Vienna,German,Austrian,President,Alexander Van der Bellen,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Van_der_Bellen_%28cropped%29.jpg/220px-Van_der_Bellen_%28cropped%29.jpg,Chancellor,Hartwig L&ouml;ger,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/2017_Finanzminister_Hartwig_L%C3%B6ger_%2839136614571%29_%28cropped%29.jpg/220px-2017_Finanzminister_Hartwig_L%C3%B6ger_%2839136614571%29_%28cropped%29.jpg,"8,857,960",Euro,"Land der Berge, Land am Strome","<iframe src=""//commons.wikimedia.org/wiki/File:Land_der_Berge_Land_am_Strome_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/EU-Austria.svg/250px-EU-Austria.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/125px-Flag_of_Austria.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Austria_Bundesadler.svg/85px-Austria_Bundesadler.svg.png,Australia
